Title,Author,Date,Notes
The Sorrows of Young Werther,Johann Wolfgang von Goethe,25/07/2024,-
Gulag,Anne Applebaum,10/07/2024,-
Ring Resounding,John Culshaw,13/06/2024,-
Radical Focus,Christina R Wodtke,05/05/2024,-
If It Die,André Gide,04/05/2024,-
Separate Rooms,Pier Vittorio Tondelli,19/04/2024,-
The Young & Evil,Charles Ford & Parker Tyler,20/03/2024,-
The Bell,Iris Murdoch,28/02/2024,-
Purity,Jonathan Franzen,14/02/2024,-
Jan van Eyck,Alfred Acres,04/02/2024,-
The House of Mirth,Edith Wharton ,25/01/2024,-
The Riviera Set,Mary S Lovell,15/11/2023,-
Bad Blood,John Carreyrou,09/11/2023,-
Chess,Stefan Zweig,25/10/2023,-
Care of Wooden Floors,Will Wiles,22/10/2023,-
Trillion Dollar Coach,"Eric Schmidt, Jonathan Rosenberg, Alan Eagle",19/10/2023,-
We Are All Completely Beside Ourselves,Karen Joy Fowler,11/10/2023,-
The Praise Singer,Mary Renault,29/09/2023,-
Team Topologies,Manuel Pais & Matthew Skelton,28/09/2023,-
Excellent Women,Barbara Pym,04/09/2023,-
Khrushchev: The Man and his Era,William Taubman,29/08/2023,-
Ego,Tim Geary,05/08/2023,-
The Morbid Age,Richard Overy,02/04/2023,-
The Magic Mountain,Thomas Mann,02/04/2023,-
Spare,Prince Harry,09/02/2023,-
Devils,Fyodor Dostoevsky,17/01/2023,-
Brief Lives,Anita Brookner,01/01/2023,-
The Mirror and the Light,Hilary Mantel,14/12/2022,-
Bring Up The Bodies,Hilary Mantel,02/11/2022,-
A Sicilian Romance,Ann Radcliffe,22/10/2022,-
Wolf Hall,Hilary Mantel,02/10/2022,-
Northanger Abbey,Jane Austen,23/09/2022,-
Dancer from the Dance,Andrew Holleran,29/08/2022,-
The Castle of Otranto,Horace Walpole,10/08/2022,-
Cruising the Dead River: David Wojnarowicz and New York's Ruined Waterfront,Fiona Anderson,03/08/2022,-
The Life and Times of Little Richard: The Authorised Biography,Charles White,23/07/2022,-
Tiepolo Blue,James Cahill,15/06/2022,-
Wisecracker,William J Mann,10/06/2022,-
The Driver's Seat,Muriel Spark,01/06/2022,-
Citizen Clem,John Bew,17/04/2022,-
Albert and the Whale,Philip Hoare,12/03/2022,-
On Queer Street: A Social History of British Homosexuality 1895-1995,Hugh David,02/02/2022,-
The Hitler Myth,Ian Kershaw,02/01/2022,-
London Triptych,Jonathan Kemp,24/12/2021,-
Twopence Coloured,Patrick Hamilton,14/12/2021,-
Unbeaten,Kim Woodburn,02/10/2021,-
Double Fault,Lionel Shriver,17/08/2021,-
Alkan,Ronald Hill,15/08/2021,-
An English Affair,Richard Davenport-Hines,05/08/2021,-
The Power Broker,Robert A Caro,30/07/2021,-
The Tortoise and the Hare,Elizabeth Jenkins,03/05/2021,-
Why the Allies Won,Richard Overy,11/04/2021,-
The Kreutzer Sonata,Leo Tolstoy,31/03/2021,-
Four Days in November,Vincent Bugliosi,14/02/2021,-
Red Plenty,Francis Spufford,17/01/2021,-
Andy Warhol,Blake Gopnik,04/01/2021,-
Murder Underground,Mavis Doriel Hay,15/10/2020,-
The Devil: A Biography,Peter Stanford,28/09/2020,-
Londinium: London in the Roman Empire,John Morris,20/08/2020,-
Duveen: The Story of the Most Spectacular Art Dealer of All Time,SN Behrman,12/08/2020,-
Maigret and the Hundred Gibbets,Georges Simenon,27/07/2020,-
The Shining,Stephen King,11/07/2020,-
The Man in the Glass House,Mark Lamster,20/06/2020,-
Queer City,Peter Ackroyd,24/05/2020,-
"American Eve: Evelyn Nesbit, Stanford White, The Birth of the 'It' Girl and the Crime of the Century",Paula Uruburu,10/05/2020,-
Of Walking in Ice,Werner Herzog,07/05/2020,-
The Secret History,Procopius,03/05/2020,-
Zhukov: The Conqueror of Berlin,John Colvin,30/04/2020,-
The Five,Hallie Rubenhold,10/04/2020,-
Peggy Guggenheim: The Life of an Art Addict,Anton Gill,05/04/2020,-
A Month in Siena,Hisham Matar,05/04/2020,-
Outsider II,Brian Sewell,22/03/2020,-
Rebel Prince,Tom Bower,10/03/2020,-
Bad Blood,John Carreyou,29/01/2020,-
"Teleny, or the Reverse of the Medal",Anonymous,19/01/2020,-
Offshore,Penelope Fitzgerald,10/01/2020,-
The Little Virtues,Natalia Ginzburg,06/01/2020,-
Travels,Stefan Zweig,06/01/2020,-
A Helping Hand,Celia Dale,2024-08-21,-
Yellowface,Rebecca Kuang,2024-10-13,-
Courtesans and Fishcakes: The Consuming Passions of Classical Athens,James N Davidson,2024-10-19,-
The Basque History of the World,Mark Kurlansky,2024-12-15,-
Wolf's Clothing,Celia Dale,2024-12-27,-
Seasons in the Sun,Dominic Sandbrooke,2025-03-30,-