Title,Composer(s),Conductor,Cast/Soloist,Venue,Date,Notes
Tosca,Giacomo Puccini,Leo Hussain,"Christof Loy, Leo Hussain, Sinéad Campbell-Wallace",ENO,2022-11-04,-
Alcina,Handel,Christian Curnyn,"Emily D'Angelo, Lisette Oropesa, Mary Bevan, Varduhi Abrahamyan",Royal Opera House,2022-11-14,-
Aida,Giuseppe Verdi,Mark Elder,"Angel Blue, Elīna Garanča, Ludovic Tézier, SeokJong Baek",Royal Opera House,2023-05-08,-
Wozzeck,Alban Berg,Antonio Pappano,"Anja Kampe, Brindley Sherratt, Christian Gerhaher, Peter Hoare",Royal Opera House,2023-05-25,-
Il Trovatore,Giuseppe Verdi,Antonio Pappano,"Gregory Kunde, Jamie Barton, Ludovic Tézier, Rachel Willis-Sørensen",Royal Opera House,2023-06-24,-
La Forza del Destino,Giuseppe Verdi,Mark Elder,"Brian Jagde, Etienne Dupuis, Sondra Radvanovsky",Royal Opera House,2023-09-24,-
Jephtha,Handel,Laurence Cummings,"Alice Coote, Allan Clayton, Cameron Shahbazi",Royal Opera House,2023-11-15,-
Rigoletto,Giuseppe Verdi,Renato Balsadonna,"Elena Maximova, Erin Morley, Goderdzi Janelidze, Saimir Pirgu, Simon Keenlyside",Royal Opera House,2023-11-20,-
Cavelliera Rusticana / I Pagliacci,"Pietro Mascagni, Ruggero Leoncavallo",Daniel Oren,"Aleksandra Kurzak, Anna Princeva, Dimitri Platanias, Elena Zilio, Jorge de León, Roberto Alagna",Royal Opera House,2023-12-15,-
Elektra,Richard Strauss,Antonio Pappano,"Karita Mattila, Nina Stemme, Sara Jakubiak, Łukasz Goliński",Royal Opera House,2024-01-26,-
La bohème,Giacomo Puccini,Evelino Pidò,"Andrey Zhilikhovsky,Angela Gheorghiu,Michael Mofidian,Simon Keenlyside,Simona Mihai,Stefan Pop,Zoltan Nagy",Royal Opera House,2024-02-11,-
Der fliegende Holländer,Richard Wagner,Henrik Nánási,"Bryn Terfel,Elisabet Strid,Miles Mykkanen,Stephen Milling",Royal Opera House,2024-03-11,-
Alexandre Kantorow plays Liszt,"Franz Liszt, Anton Bruckner",Manfred Honeck,Alexandre Kantorow,Southbank Centre,2024-05-09,-
Lucia di Lammermoor,Gaetano Donizetti,Richard Hetherington,"Andrés Presno,Germán E. Alcántara,Liv Redpath,Marko Mimica,Michael Gibson,Xabier Anduaga",Royal Opera House,2024-05-18,-
The Merry Widow,Franz Lehár,John Wilson,"Alex Otterburn,Danielle de Niese,Germán Olvera,Thomas Allen",Glyndebourne,2024-06-16,-
Cosi Fan Tutte,Wolfgang Amadeus Mozart,Alexander Soddy,"Andrè Schuen,Daniel Behle,Gerald Finley,Golda Schultz,Jennifer France,Samantha Hankey",Royal Opera House,2024-07-06,-
Tosca,Giacomo Puccini,Andrea Battistoni,"Aleksei Isaev,Germán E. Alcántara,Jeremy White,Sonya Yoncheva,Yusif Eyvazov",Royal Opera House,2024-07-14,-